question,rag_answer,original_answer,document_id,reasoning,score
How do students join the Office Hours or live workshop stream if the Zoom link isn’t shared publicly?,"Students join via **YouTube Live**, not the Zoom link. The Zoom link is only shared with instructors/presenters/TAs. The video URL is posted in the **announcements channel on Telegram and Slack** before the session starts, and students can also watch on the **DataTalksClub YouTube channel**. Questions should be submitted via **Slido** when live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9,"The RAG answer preserves the key information: students do not use the Zoom link, which is only for instructors/presenters/TAs; they watch via YouTube Live, get the stream URL from Telegram/Slack announcements or the DataTalksClub YouTube channel, and submit questions via Slido. This is semantically equivalent to the ground truth, with no missing core point.",good
Where can I find the live video link for Office Hours sessions before they start?,The video URL should be posted in the **announcements channel on Telegram and Slack** before the session begins. You can also watch live on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9,"The RAG answer correctly identifies where students can find the live video link before Office Hours begin: the announcements channel on Telegram and Slack, and the DataTalksClub YouTube channel. This matches the key information from the ground truth. It omits some extra details about zoom access, Slido, and chat questions, but those are not necessary for the asked question.",good
"Can I watch the course live sessions on YouTube instead of Zoom, and where do I send questions?","Yes. You can watch the live sessions on YouTube Live instead of Zoom.

Questions should be sent to Slido, which is pinned in the chat when the session is live. Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9,"The RAG answer correctly states that students can watch live sessions on YouTube Live instead of Zoom and that questions should be sent to Slido, pinned in chat when live. It also correctly warns not to post questions in chat. It omits some extra details about the Zoom link being instructor-only and where the video URL is announced, but those are not required for the core answer.",good
"Why isn’t the Zoom link posted for workshop streams, and what’s the best way for students to participate?","The Zoom link isn’t posted publicly because it’s only shared with instructors, presenters, and TAs.

For students, the best way to participate is:
- Watch the session on **YouTube Live**
- Ask questions via **Slido** (the link is pinned in chat during the live session)
- Check the **announcements channel on Telegram or Slack** for the video link before the session starts

Also, don’t post questions in the chat, since they may be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9,"The RAG answer matches the ground truth: it explains that the Zoom link is only for instructors/presenters/TAs, says students should watch on YouTube Live, submit questions via Slido, check announcements on Telegram/Slack for the video link, and avoid posting questions in chat. This is semantically equivalent and complete.",good
Is there an announcement channel or pinned link for the live session video and question form?,"Yes. The course uses the **announcements channel on Telegram and Slack** to share the live session video URL before it starts. For questions during the session, the **Slido link is pinned in the chat when live**.

Also, the Telegram announcement channel is: **https://t.me/llm_zoomcamp**","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9,"The RAG answer correctly states that the live session video URL is posted in the announcements channel on Telegram and Slack before it starts, and that questions are submitted via Slido with the link pinned in chat when live. This matches the ground truth. The extra Telegram link is not conflicting with the core answer, though it differs from the specific link in the original; however, the question asks generally about the announcement channel/pinned link, and the key information is preserved.",good
"Where do I begin if I want to follow the LLM Zoomcamp from scratch, and what links should I check first?","Start with these three links:

1. **[LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)**  
2. **[General Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)**  
3. **[LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)**

If you want to track deadlines, homework, and progress, also check the **[course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/)**.

A good way to begin from scratch is:
- watch the lesson videos,
- work through the lesson notebooks/code,
- read the homework instructions on GitHub,
- submit your answers through the course platform before the deadline.

You can start whenever you want.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3,"The RAG answer matches the ground truth: it names the same three starter links, mentions the course management platform for deadlines/homework, states that you can start whenever you want, and gives the same typical workflow. No key information is missing or incorrect.",good
What’s the usual weekly routine for this course — do I watch the videos first and then do the notebooks?,"Yes — the usual workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers through the course platform before the deadline

So, videos first, then notebooks.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3,"The RAG answer matches the ground truth on the key point: the typical workflow is videos first, then notebooks, followed by homework instructions and submission. It omits the introductory links and the note that you can start whenever you want, but those are extra details rather than the core answer. Semantically equivalent.",good
"Can I join the course whenever I want, or do I have to wait for a specific start date?","You can start whenever you want. The course materials and videos are available, and you don’t need to wait for a specific start date.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3,"The RAG answer correctly states the key point that you can start whenever you want and do not need to wait for a specific start date. It also mentions that course materials and videos are available, which matches the ground truth. It omits additional workflow and deadline details, but those are not necessary to answer the question.",good
"After finishing a lesson, what’s the right way to handle the homework and where do I submit it?","After finishing a lesson, the right workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers through the course platform before the deadline

You submit the homework on the course platform, and as long as the submission form is still open, you can submit even if the deadline has already passed.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3,"The RAG answer preserves the key workflow from the ground truth: review lesson materials, do the notebooks/code, read homework instructions on GitHub, and submit via the course platform before the deadline. It also correctly identifies the course platform as the submission location. The extra note about being able to submit after the deadline if the form is still open is not in the original answer, but it does not contradict the core guidance, so the semantic content is equivalent.",good
"Is the homework basically the same as the lesson exercises, or does it use a different dataset or task?","Homework is similar to the lesson exercises, but it usually uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3,"The RAG answer captures the key point that homework is similar to the lesson exercises but uses a different dataset or slightly different task. This matches the ground truth's core statement. It omits the surrounding logistical details, but those are not necessary for semantic equivalence to the specific question asked.",good
How do I find my own record on the leaderboard if I can't spot my name right away?,Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry if you can’t find your name right away.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0,"The RAG answer correctly identifies the key instruction for finding your own leaderboard entry: click the “Jump to your record on the leaderboard” link. This matches the ground truth’s main guidance. It omits the additional explanation about the automatically assigned random display name and profile editing, but those details are not necessary to answer the question asked.",good
Why does the leaderboard show a random name instead of my real one when I sign up?,"When you sign up, you’re automatically assigned a random public display name, like “Lucid Elbakyan,” for the leaderboard. That’s separate from your certificate name.

If you want to change it, go to **Edit Course Profile**:
- **First field:** leaderboard/display name
- **Second field:** official name for your certificate

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0,"The RAG answer captures the core explanation: users are assigned a random public display/leaderboard name on signup, and the profile has separate fields for display name and official certificate name. This is semantically equivalent to the ground truth, with only minor omission of the specific 'Jump to your record on the leaderboard' guidance, which is not essential to the question asked.",good
Where can I check what my displayed nickname is in the course profile?,Click on the **“Edit Course Profile”** button. The **first field** shows your displayed nickname/display name for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0,"The RAG answer correctly identifies that you should click 'Edit Course Profile' to see the displayed nickname, and it accurately notes that the first field contains the display/nickname name used on the leaderboard. This matches the key information from the ground truth, with no incorrect claims or missing essential details for the question asked.",good
Can I change the name shown on the leaderboard to my Slack or GitHub name?,"Yes. In **Edit Course Profile**, the **first field** is your public nickname/display name for the leaderboard, and you can change it to your **Slack username, GitHub username, or any other nickname** you want.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0,"The RAG answer correctly states that the leaderboard/display name can be changed in Edit Course Profile and can be set to a Slack or GitHub username. This matches the key point of the ground truth. It omits some extra details about the random assigned name and the second field for official name/certificate, but those are not necessary to answer the question.",good
What should I put in the official-name field so my certificate doesn't say the random default name?,"Put your **official name as it appears on your identification documents** — for example, your **passport, national ID card, or driver’s license**. This is the second field in **Edit Course Profile**, and it’s the name that will appear on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0,"The RAG answer preserves the key point from the ground truth: the official-name field should contain the user's legal/identification-document name, and this is the name that will appear on the certificate, preventing the random default name from being used. It omits the extra guidance about the display name and leaderboard link, but that is not necessary to answer the question.",good
Can I do the course at my own pace and still get a certificate at the end?,"No, you can only get a certificate if you finish the course with a live cohort. The self-paced mode does not award certificates.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e,"The RAG answer matches the core point of the ground truth: certificates are only awarded for finishing with a live cohort, not in self-paced mode. It omits the peer-review explanation, but that detail is supportive rather than essential to the direct question.",good
Why don’t you give certificates for the self-paced version of the course?,"No, we don’t award certificates for the self-paced mode. You can only get a certificate if you finish the course with a live cohort, because certificate eligibility requires peer-reviewing 3 capstone projects, and that can only be done while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e,"The RAG answer matches the ground truth: it states that certificates are only available for the live cohort, not self-paced, and correctly explains that certification requires peer-reviewing 3 capstone projects during the course run. This preserves the key information and rationale.",good
Do I have to join a live cohort to be eligible for a certificate?,"Yes. To get a certificate, you need to finish the course with a live cohort. The course does not award certificates for self-paced participation.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e,"The RAG answer matches the ground truth on the key point: certificates are only available when completing the course with a live cohort, and not for self-paced participation. It omits the peer-review explanation, but that is supporting detail rather than a change in meaning.",good
Is peer review of capstone projects required before I can get the course certificate?,"Yes. Peer review is required to get the course certificate.

You need to:
- submit your capstone project, and
- peer-review 3 other capstone projects.

If you don’t complete the peer-review requirement, you may fail to receive the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e,"The RAG answer is not semantically equivalent to the ground truth. The original answer says certificates are only available for the live cohort, not self-paced mode, and that peer review of 3 capstones is part of that live-course process. The RAG answer incorrectly states that peer review is required to get the certificate in general and implies that simply completing it may earn the certificate, omitting the crucial restriction that self-paced learners do not get certificates and that peer review is only possible while the course is running.",bad
"What happens if I finish the materials later, after the course form is closed—can I still get certified?","No. You can only get a certificate if you finish the course with a live cohort. If the course form is closed, you can no longer do the required peer reviews, so self-paced completion after that does not qualify for a certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e,"The RAG answer matches the ground truth: it says certification is only possible with a live cohort, not in self-paced mode after the form closes, because the required peer reviews are no longer available. This preserves the key points of the original answer.",good
Do I still qualify for the certificate if I skipped the first homework?,Yes. Skipping the first homework does not prevent you from getting the certificate. You only need to pass the Capstone project; homework is not mandatory.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f,"The RAG answer matches the ground truth: it correctly states that skipping the first homework does not affect certificate eligibility and that passing the Capstone project is the requirement, while homework is optional/not mandatory. It preserves the key point and does not introduce contradictions.",good
"Is the homework required to get the course certificate, or is the capstone enough?","The capstone is enough. Homework is not mandatory for getting the certificate, though it is recommended and counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f,"The RAG answer matches the ground truth: it states that the capstone is enough to get the certificate, homework is not required, and homework is recommended and counts toward leaderboard rank. This is semantically equivalent to the original answer.",good
"If I miss one of the homework assignments, does it affect whether I can earn the certificate?","No. Missing a homework assignment won’t affect whether you can earn the certificate. You only need to pass the Capstone project to get the certificate. Homework is not mandatory, though it does count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f,"The RAG answer matches the ground truth: homework is not required for the certificate, and passing the Capstone project is the requirement. It also correctly notes homework contributes to leaderboard rank. This is semantically equivalent to the original answer.",good
What do I actually need to complete to receive the certificate in this course?,"You need to **pass the Capstone project** to get the certificate. Homework is **not mandatory** for the certificate, though it is recommended and counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f,"The RAG answer preserves the key point that passing the Capstone project is required for the certificate, and correctly states that homework is not mandatory but recommended and contributes to leaderboard rank. This is semantically equivalent to the ground truth.",good
"Does not doing homework stop me from getting the certificate, or is it mainly for practice and ranking?","Homework is **not mandatory** for the certificate. You only need to **pass the Capstone project** to get the certificate.

Homework is mainly for **practice/reinforcing concepts**, and the points also count toward your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f,"The RAG answer matches the ground truth: it states homework is not mandatory for the certificate, that passing the Capstone project is required, and that homework is mainly for practice and leaderboard ranking. This preserves the key meaning accurately.",good
Why does the homework content keep changing before the deadline?,"If the homework title contains **`[DRAFT]`**, it means the homework is not ready yet, so the content can still change before the deadline.

The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the homework title no longer contains **`[DRAFT]`**.

Until then, changes are possible, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4,"The RAG answer preserves the key conditions for readiness (form open and title without [DRAFT]) and explains that content may change until then, with the same caution about working early at your own risk. It is semantically equivalent to the ground truth.",good
What does it mean when a homework title has [DRAFT] in it?,"It means the homework is not ready yet. The title is only considered ready when the form is open and the title no longer contains `[DRAFT]`. Until then, the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4,"The RAG answer conveys the same core meaning as the ground truth: [DRAFT] indicates the homework is not ready yet, readiness requires both the form to be open and the title to no longer contain [DRAFT], and content may still change. It omits the caution that working in advance is at your own risk, but that is additional detail rather than a key point.",good
How can I tell if the homework is actually ready to submit?,"The homework is ready only when **both** of these are true:

- The **submission form is open** on the course management platform.
- The homework title **does not contain `[DRAFT]`**.

If either of those is not true, it’s not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4,"The RAG answer preserves the key criteria exactly: the form must be open and the title must not contain [DRAFT]. It also correctly states that if either condition fails, it is not ready. The extra note about changes in advance is omitted, but that is not necessary for semantic equivalence to the core answer.",good
Can the homework still be changed after it’s posted on the course platform?,"Yes — until the homework is fully ready, its content can still change. It’s considered ready only when the homework form is open on the course platform **and** the title no longer contains **`[DRAFT]`**.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4,"The RAG answer captures the key point that homework can still change until it is fully ready, and correctly states the two readiness conditions: the form is open and the title no longer contains [DRAFT]. This is semantically equivalent to the ground truth, though it omits the warning about working in advance at your own risk.",good
Is it safe to start working on a homework assignment if it still says [DRAFT]?,"No. If it still says `[DRAFT]`, the homework is not ready yet, and the content can still change. Working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4,"The RAG answer correctly states that a homework marked [DRAFT] is not ready yet, that its content can still change, and that working on it in advance is at the student's own risk. This matches the key point of the ground truth. It omits the additional condition that the homework form must be open on the course management platform, but that omission does not change the direct answer to the safety question.",good
When is the next llm-zoomcamp session starting?,I don't know.,Summer 2027.,bd31146b0e,"The ground truth says the next llm-zoomcamp session is starting in Summer 2027. The RAG answer says 'I don't know,' which does not provide the correct timing and misses the key information.",bad
Do you know when this course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e,"The RAG answer exactly matches the ground truth response, conveying the same information that the course will be offered again in Summer 2027.",good
What term is the next run of the course scheduled for?,I don't know.,Summer 2027.,bd31146b0e,"The ground truth states a specific scheduled term: Summer 2027. The RAG answer says 'I don't know,' which fails to provide the correct information and is not semantically equivalent.",bad
