question,rag_answer,original_answer,document_id
Where can I find the live video link for Office Hours sessions before they start?,The video URL should be posted in the **announcements channel on Telegram and Slack** before the session begins. You can also watch live on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the course live sessions on YouTube instead of Zoom, and where do I send questions?","Yes. You can watch the live sessions on YouTube Live instead of Zoom.

Questions should be sent to Slido, which is pinned in the chat when the session is live. Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Why isn’t the Zoom link posted for workshop streams, and what’s the best way for students to participate?","The Zoom link isn’t posted publicly because it’s only shared with instructors, presenters, and TAs.

For students, the best way to participate is:
- Watch the session on **YouTube Live**
- Ask questions via **Slido** (the link is pinned in chat during the live session)
- Check the **announcements channel on Telegram or Slack** for the video link before the session starts

Also, don’t post questions in the chat, since they may be missed if the room is busy.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Is there an announcement channel or pinned link for the live session video and question form?,"Yes. The course uses the **announcements channel on Telegram and Slack** to share the live session video URL before it starts. For questions during the session, the **Slido link is pinned in the chat when live**.

Also, the Telegram announcement channel is: **https://t.me/llm_zoomcamp**","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where do I begin if I want to follow the LLM Zoomcamp from scratch, and what links should I check first?","Start with these three links:

1. **[LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)**  
2. **[General Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)**  
3. **[LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)**

If you want to track deadlines, homework, and progress, also check the **[course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/)**.

A good way to begin from scratch is:
- watch the lesson videos,
- work through the lesson notebooks/code,
- read the homework instructions on GitHub,
- submit your answers through the course platform before the deadline.

You can start whenever you want.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What’s the usual weekly routine for this course — do I watch the videos first and then do the notebooks?,"Yes — the usual workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers through the course platform before the deadline

So, videos first, then notebooks.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Can I join the course whenever I want, or do I have to wait for a specific start date?","You can start whenever you want. The course materials and videos are available, and you don’t need to wait for a specific start date.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"After finishing a lesson, what’s the right way to handle the homework and where do I submit it?","After finishing a lesson, the right workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit your answers through the course platform before the deadline

You submit the homework on the course platform, and as long as the submission form is still open, you can submit even if the deadline has already passed.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it use a different dataset or task?","Homework is similar to the lesson exercises, but it usually uses a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own record on the leaderboard if I can't spot my name right away?,Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry if you can’t find your name right away.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show a random name instead of my real one when I sign up?,"When you sign up, you’re automatically assigned a random public display name, like “Lucid Elbakyan,” for the leaderboard. That’s separate from your certificate name.

If you want to change it, go to **Edit Course Profile**:
- **First field:** leaderboard/display name
- **Second field:** official name for your certificate

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my displayed nickname is in the course profile?,Click on the **“Edit Course Profile”** button. The **first field** shows your displayed nickname/display name for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the name shown on the leaderboard to my Slack or GitHub name?,"Yes. In **Edit Course Profile**, the **first field** is your public nickname/display name for the leaderboard, and you can change it to your **Slack username, GitHub username, or any other nickname** you want.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I put in the official-name field so my certificate doesn't say the random default name?,"Put your **official name as it appears on your identification documents** — for example, your **passport, national ID card, or driver’s license**. This is the second field in **Edit Course Profile**, and it’s the name that will appear on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course at my own pace and still get a certificate at the end?,"No, you can only get a certificate if you finish the course with a live cohort. The self-paced mode does not award certificates.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why don’t you give certificates for the self-paced version of the course?,"No, we don’t award certificates for the self-paced mode. You can only get a certificate if you finish the course with a live cohort, because certificate eligibility requires peer-reviewing 3 capstone projects, and that can only be done while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I have to join a live cohort to be eligible for a certificate?,"Yes. To get a certificate, you need to finish the course with a live cohort. The course does not award certificates for self-paced participation.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is peer review of capstone projects required before I can get the course certificate?,"Yes. Peer review is required to get the course certificate.

You need to:
- submit your capstone project, and
- peer-review 3 other capstone projects.

If you don’t complete the peer-review requirement, you may fail to receive the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"What happens if I finish the materials later, after the course form is closed—can I still get certified?","No. You can only get a certificate if you finish the course with a live cohort. If the course form is closed, you can no longer do the required peer reviews, so self-paced completion after that does not qualify for a certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I still qualify for the certificate if I skipped the first homework?,Yes. Skipping the first homework does not prevent you from getting the certificate. You only need to pass the Capstone project; homework is not mandatory.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is the homework required to get the course certificate, or is the capstone enough?","The capstone is enough. Homework is not mandatory for getting the certificate, though it is recommended and counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If I miss one of the homework assignments, does it affect whether I can earn the certificate?","No. Missing a homework assignment won’t affect whether you can earn the certificate. You only need to pass the Capstone project to get the certificate. Homework is not mandatory, though it does count toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to complete to receive the certificate in this course?,"You need to **pass the Capstone project** to get the certificate. Homework is **not mandatory** for the certificate, though it is recommended and counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Does not doing homework stop me from getting the certificate, or is it mainly for practice and ranking?","Homework is **not mandatory** for the certificate. You only need to **pass the Capstone project** to get the certificate.

Homework is mainly for **practice/reinforcing concepts**, and the points also count toward your **leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before the deadline?,"If the homework title contains **`[DRAFT]`**, it means the homework is not ready yet, so the content can still change before the deadline.

The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the homework title no longer contains **`[DRAFT]`**.

Until then, changes are possible, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when a homework title has [DRAFT] in it?,"It means the homework is not ready yet. The title is only considered ready when the form is open and the title no longer contains `[DRAFT]`. Until then, the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if the homework is actually ready to submit?,"The homework is ready only when **both** of these are true:

- The **submission form is open** on the course management platform.
- The homework title **does not contain `[DRAFT]`**.

If either of those is not true, it’s not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the homework still be changed after it’s posted on the course platform?,"Yes — until the homework is fully ready, its content can still change. It’s considered ready only when the homework form is open on the course platform **and** the title no longer contains **`[DRAFT]`**.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on a homework assignment if it still says [DRAFT]?,"No. If it still says `[DRAFT]`, the homework is not ready yet, and the content can still change. Working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next llm-zoomcamp session starting?,I don't know.,Summer 2027.,bd31146b0e
Do you know when this course will be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
What term is the next run of the course scheduled for?,I don't know.,Summer 2027.,bd31146b0e
"Is there a planned next offering of the course, and when is it?",I don't know.,Summer 2027.,bd31146b0e
When can I expect the next summer session of this course?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the course videos or lectures for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there — each lesson page has the relevant **videos linked at the top**. If you're unsure, follow the GitHub repo first since it’s kept more up to date than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place I should go first to access the lessons and videos?,"Yes — the main place to start is the **LLM Zoomcamp GitHub repository**. Open the lesson folders there; each lesson page has the relevant videos linked at the top. If in doubt, follow the GitHub repo first because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I’m trying to locate the lecture links—should I start from the GitHub repo or YouTube playlist?,"Start from the **LLM Zoomcamp GitHub repo** first. It’s the main entry point, and each lesson folder has the relevant video links at the top. The repo is also easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I find the videos for each lesson in the course materials?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point: https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — **each lesson page has the relevant videos linked at the top**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the best way to keep track of the latest lecture links for this course?,I don't know.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the LLM Zoomcamp syllabus and current cohort structure?,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/). It contains the current cohort structure, syllabus, deadlines, homework, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a place to follow homework deadlines and my progress for this course?,"Yes — use the **LLM Zoomcamp course management platform** to track **homework deadlines and your progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What site should I use to keep track of assignments, deadlines, and course progress in LLM Zoomcamp?","Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It’s where you can track assignments, deadlines, homework, and course progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Can I manage the LLM Zoomcamp syllabus and homework somewhere online?,"Yes — you can manage the LLM Zoomcamp syllabus, deadlines, homework, and progress on the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What’s the official platform for tracking the course structure and progress in LLM Zoomcamp?,"The official platform is the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It’s used to track the course structure, homework, deadlines, and progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Do we get live classes or office hours for every module in this course?,"No, there are no separate live sessions or office hours for every module by default. The module materials are pre-recorded and available in the course repo. Live sessions are announced separately when they happen.

If you want extra support, there’s an optional paid community called AI Shipping Labs that includes regular Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Where can I ask questions if I get stuck with the module materials?,Ask in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are the lessons recorded somewhere, or are there separate live sessions each time?",The lessons are pre-recorded and available in the course repo. There are not separate live sessions for every module by default. Live sessions happen separately when announced.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there any extra paid support with Zoom office hours if I want more help?,"Yes. The course content is free, but there is an optional paid community called **AI Shipping Labs** that includes **regular Zoom office hours** and additional structure.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"How do live sessions work in LLM Zoomcamp, and are they included by default?","Live sessions are **not included by default for every module**. The course materials are mainly **pre-recorded and available in the GitHub repo**.

When live sessions or office hours do happen, they are **announced separately**. Students usually join via **YouTube Live** and ask questions through **Slido**.

If you want extra structured support, there is an **optional paid community** called **AI Shipping Labs**, which includes regular Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
